word,korean_meaning,level,korean_example,english_translation,image_file,tts_word_en,tts_meaning_ko,tts_example_en,tts_example_ko,category,difficulty
considerable,상당한,,그 프로젝트에는 상당한 시간이 필요해요.,That project requires considerable time.,considerable.png,considerable_word_en.mp3,considerable_meaning_ko.mp3,considerable_example_en.mp3,considerable_example_ko.mp3,중급,3
considerably,상당히,,새 약을 먹은 후 통증이 상당히 줄었어요.,"After taking the new medicine, the pain decreased considerably.",considerably.png,considerably_word_en.mp3,considerably_meaning_ko.mp3,considerably_example_en.mp3,considerably_example_ko.mp3,중급,3
consideration,고려,,결정을 하기 전에 여러 가지 고려가 필요해요.,Several considerations are needed before making a decision.,consideration.png,consideration_word_en.mp3,consideration_meaning_ko.mp3,consideration_example_en.mp3,consideration_example_ko.mp3,중급,3
consistent,일관된,,그는 항상 일관된 태도로 사람들을 대해요.,He always treats people with a consistent attitude.,consistent.png,consistent_word_en.mp3,consistent_meaning_ko.mp3,consistent_example_en.mp3,consistent_example_ko.mp3,중급,3
consistently,일관되게,,그 학생은 일관되게 좋은 성적을 받았어요.,That student consistently received good grades.,consistently.png,consistently_word_en.mp3,consistently_meaning_ko.mp3,consistently_example_en.mp3,consistently_example_ko.mp3,중급,3
conspiracy,음모,,그 사건 뒤에는 큰 음모가 있었다고 해요.,They say there was a big conspiracy behind the incident.,conspiracy.png,conspiracy_word_en.mp3,conspiracy_meaning_ko.mp3,conspiracy_example_en.mp3,conspiracy_example_ko.mp3,중급,3
constant,끊임없는,,끊임없는 연습이 실력을 키워 줘요.,Constant practice improves your skills.,constant.png,constant_word_en.mp3,constant_meaning_ko.mp3,constant_example_en.mp3,constant_example_ko.mp3,중급,3
constantly,끊임없이,,그 아이는 끊임없이 질문을 해요.,That child constantly asks questions.,constantly.png,constantly_word_en.mp3,constantly_meaning_ko.mp3,constantly_example_en.mp3,constantly_example_ko.mp3,중급,3
construct,건설하다,,시는 강 위에 새 다리를 건설할 계획이에요.,The city plans to construct a new bridge over the river.,construct.png,construct_word_en.mp3,construct_meaning_ko.mp3,construct_example_en.mp3,construct_example_ko.mp3,중급,3
construction,건설,,학교 앞에서 건설 공사가 진행 중이에요.,Construction work is in progress in front of the school.,construction.png,construction_word_en.mp3,construction_meaning_ko.mp3,construction_example_en.mp3,construction_example_ko.mp3,중급,3
consult,상의하다,,중요한 문제는 가족과 상의하는 것이 좋아요.,It is good to consult with your family about important problems.,consult.png,consult_word_en.mp3,consult_meaning_ko.mp3,consult_example_en.mp3,consult_example_ko.mp3,중급,3
consultant,컨설턴트,,그 회사는 새로운 컨설턴트를 고용했어요.,The company hired a new consultant.,consultant.png,consultant_word_en.mp3,consultant_meaning_ko.mp3,consultant_example_en.mp3,consultant_example_ko.mp3,비즈니스,3
consumption,소비,,전기 소비를 줄이면 돈을 절약할 수 있어요.,"If you reduce electricity consumption, you can save money.",consumption.png,consumption_word_en.mp3,consumption_meaning_ko.mp3,consumption_example_en.mp3,consumption_example_ko.mp3,중급,3
contemporary,현대의,,이 미술관에는 현대의 작품이 많이 있어요.,This art museum has many contemporary works.,contemporary.png,contemporary_word_en.mp3,contemporary_meaning_ko.mp3,contemporary_example_en.mp3,contemporary_example_ko.mp3,중급,3
contest,대회,,저는 노래 대회에 참가했어요.,I participated in a singing contest.,contest.png,contest_word_en.mp3,contest_meaning_ko.mp3,contest_example_en.mp3,contest_example_ko.mp3,중급,3
contract,계약,,우리는 집을 사기 전에 계약을 확인했어요.,We checked the contract before buying the house.,contract.png,contract_word_en.mp3,contract_meaning_ko.mp3,contract_example_en.mp3,contract_example_ko.mp3,비즈니스,3
contribute,기여하다,,작은 도움이 큰 변화에 기여할 수 있어요.,Small help can contribute to a big change.,contribute.png,contribute_word_en.mp3,contribute_meaning_ko.mp3,contribute_example_en.mp3,contribute_example_ko.mp3,중급,3
contribution,기여,,그의 기여 덕분에 프로젝트가 성공했어요.,"Thanks to his contribution, the project succeeded.",contribution.png,contribution_word_en.mp3,contribution_meaning_ko.mp3,contribution_example_en.mp3,contribution_example_ko.mp3,중급,3
controversial,논란의 여지가 있는,,그 영화는 논란의 여지가 있는 주제를 다뤘어요.,The movie dealt with a controversial topic.,controversial.png,controversial_word_en.mp3,controversial_meaning_ko.mp3,controversial_example_en.mp3,controversial_example_ko.mp3,중급,3
controversy,논란,,그 발언은 큰 논란을 일으켰어요.,That remark caused a big controversy.,controversy.png,controversy_word_en.mp3,controversy_meaning_ko.mp3,controversy_example_en.mp3,controversy_example_ko.mp3,중급,3
convenience,편리,,이 앱은 사용자의 편리를 위해 만들어졌어요.,This app was made for users' convenience.,convenience.png,convenience_word_en.mp3,convenience_meaning_ko.mp3,convenience_example_en.mp3,convenience_example_ko.mp3,중급,3
convention,관습,,한국에는 명절에 가족이 모이는 관습이 있어요.,"In Korea, there is a convention of families gathering on holidays.",convention.png,convention_word_en.mp3,convention_meaning_ko.mp3,convention_example_en.mp3,convention_example_ko.mp3,중급,3
conventional,전통적인,,그 식당은 전통적인 방식으로 음식을 만들어요.,That restaurant makes food in a conventional way.,conventional.png,conventional_word_en.mp3,conventional_meaning_ko.mp3,conventional_example_en.mp3,conventional_example_ko.mp3,중급,3
convert,전환하다,,이 프로그램은 파일 형식을 쉽게 전환해 줘요.,This program easily converts file formats.,convert.png,convert_word_en.mp3,convert_meaning_ko.mp3,convert_example_en.mp3,convert_example_ko.mp3,중급,3
convey,전달하다,,그 편지는 그의 마음을 잘 전달했어요.,The letter conveyed his feelings well.,convey.png,convey_word_en.mp3,convey_meaning_ko.mp3,convey_example_en.mp3,convey_example_ko.mp3,중급,3
convinced,확신하는,,저는 그가 성공할 것이라고 확신하는 마음이 있어요.,I am convinced that he will succeed.,convinced.png,convinced_word_en.mp3,convinced_meaning_ko.mp3,convinced_example_en.mp3,convinced_example_ko.mp3,중급,3
convincing,설득력 있는,,그의 설명은 매우 설득력 있는 답변이었어요.,His explanation was a very convincing answer.,convincing.png,convincing_word_en.mp3,convincing_meaning_ko.mp3,convincing_example_en.mp3,convincing_example_ko.mp3,중급,3
cope,대처하다,,스트레스에 잘 대처하는 방법을 배워야 해요.,You should learn how to cope well with stress.,cope.png,cope_word_en.mp3,cope_meaning_ko.mp3,cope_example_en.mp3,cope_example_ko.mp3,중급,3
core,핵심,,이 문제의 핵심은 시간 부족이에요.,The core of this problem is a lack of time.,core.png,core_word_en.mp3,core_meaning_ko.mp3,core_example_en.mp3,core_example_ko.mp3,중급,3
corporate,회사의,,그는 회사의 중요한 결정을 맡고 있어요.,He is in charge of important corporate decisions.,corporate.png,corporate_word_en.mp3,corporate_meaning_ko.mp3,corporate_example_en.mp3,corporate_example_ko.mp3,비즈니스,3
corporation,회사,,그 회사는 전 세계에 지사가 있어요.,That corporation has branches all over the world.,corporation.png,corporation_word_en.mp3,corporation_meaning_ko.mp3,corporation_example_en.mp3,corporation_example_ko.mp3,비즈니스,3
corridor,복도,,학생들이 복도에서 조용히 걸어갔어요.,The students walked quietly in the corridor.,corridor.png,corridor_word_en.mp3,corridor_meaning_ko.mp3,corridor_example_en.mp3,corridor_example_ko.mp3,중급,3
council,의회,,시 의회는 새로운 법안을 논의했어요.,The city council discussed a new bill.,council.png,council_word_en.mp3,council_meaning_ko.mp3,council_example_en.mp3,council_example_ko.mp3,중급,3
counter,계산대,,계산대에서 영수증을 받았어요.,I received a receipt at the counter.,counter.png,counter_word_en.mp3,counter_meaning_ko.mp3,counter_example_en.mp3,counter_example_ko.mp3,중급,3
county,군,,그는 작은 군에서 태어났어요.,He was born in a small county.,county.png,county_word_en.mp3,county_meaning_ko.mp3,county_example_en.mp3,county_example_ko.mp3,중급,3
courage,용기,,그녀는 용기를 내서 사람들 앞에서 말했어요.,She gathered her courage and spoke in front of people.,courage.png,courage_word_en.mp3,courage_meaning_ko.mp3,courage_example_en.mp3,courage_example_ko.mp3,중급,3
coverage,보도,,그 사건에 대한 뉴스 보도가 계속되고 있어요.,News coverage of the incident is continuing.,coverage.png,coverage_word_en.mp3,coverage_meaning_ko.mp3,coverage_example_en.mp3,coverage_example_ko.mp3,중급,3
crack,금,,벽에 작은 금이 생겼어요.,A small crack appeared in the wall.,crack.png,crack_word_en.mp3,crack_meaning_ko.mp3,crack_example_en.mp3,crack_example_ko.mp3,중급,3
craft,수공예,,아이들은 수공예 시간에 종이 꽃을 만들었어요.,The children made paper flowers during craft class.,craft.png,craft_word_en.mp3,craft_meaning_ko.mp3,craft_example_en.mp3,craft_example_ko.mp3,중급,3
crash,충돌하다,,두 차가 교차로에서 충돌했어요.,Two cars crashed at the intersection.,crash.png,crash_word_en.mp3,crash_meaning_ko.mp3,crash_example_en.mp3,crash_example_ko.mp3,위기탈출,3
creation,창작,,이 작품은 작가의 창작에서 시작되었어요.,This work began with the artist's creation.,creation.png,creation_word_en.mp3,creation_meaning_ko.mp3,creation_example_en.mp3,creation_example_ko.mp3,중급,3
creativity,창조성,,그 수업은 학생들의 창조성을 키워 줘요.,That class develops students' creativity.,creativity.png,creativity_word_en.mp3,creativity_meaning_ko.mp3,creativity_example_en.mp3,creativity_example_ko.mp3,중급,3
creature,생물,,바다에는 신기한 생물이 많이 살아요.,Many amazing creatures live in the sea.,creature.png,creature_word_en.mp3,creature_meaning_ko.mp3,creature_example_en.mp3,creature_example_ko.mp3,중급,3
crew,승무원,,승무원이 승객들에게 안전 안내를 했어요.,The crew gave safety instructions to the passengers.,crew.png,crew_word_en.mp3,crew_meaning_ko.mp3,crew_example_en.mp3,crew_example_ko.mp3,중급,3
crisis,위기,,회사는 큰 위기를 잘 극복했어요.,The company overcame a major crisis well.,crisis.png,crisis_word_en.mp3,crisis_meaning_ko.mp3,crisis_example_en.mp3,crisis_example_ko.mp3,중급,3
criterion,기준,,이 시험의 합격 기준은 70점입니다.,The passing criterion for this test is 70 points.,criterion.png,criterion_word_en.mp3,criterion_meaning_ko.mp3,criterion_example_en.mp3,criterion_example_ko.mp3,중급,3
critic,비평가,,그 비평가는 새 영화를 좋게 평가했습니다.,The critic reviewed the new movie positively.,critic.png,critic_word_en.mp3,critic_meaning_ko.mp3,critic_example_en.mp3,critic_example_ko.mp3,중급,3
critical,중대한,,지금은 회사의 미래를 결정할 중대한 시기입니다.,Now is a critical time that will decide the company's future.,critical.png,critical_word_en.mp3,critical_meaning_ko.mp3,critical_example_en.mp3,critical_example_ko.mp3,중급,3
critically,비판적으로,,우리는 그 문제를 비판적으로 생각해야 합니다.,We should think about that issue critically.,critically.png,critically_word_en.mp3,critically_meaning_ko.mp3,critically_example_en.mp3,critically_example_ko.mp3,중급,3
criticism,비판,,그의 말에는 날카로운 비판이 담겨 있었습니다.,His words contained sharp criticism.,criticism.png,criticism_word_en.mp3,criticism_meaning_ko.mp3,criticism_example_en.mp3,criticism_example_ko.mp3,중급,3
criticize,비판하다,,선생님은 학생을 비판하기보다 도와주려고 했습니다.,The teacher tried to help the student rather than criticize him.,criticize.png,criticize_word_en.mp3,criticize_meaning_ko.mp3,criticize_example_en.mp3,criticize_example_ko.mp3,중급,3
crop,작물,,올해는 비가 많이 와서 작물이 잘 자랐습니다.,"This year, the crops grew well because it rained a lot.",crop.png,crop_word_en.mp3,crop_meaning_ko.mp3,crop_example_en.mp3,crop_example_ko.mp3,중급,3
crucial,아주 중요한,,충분한 연습은 성공에 아주 중요한 요소입니다.,Enough practice is a crucial factor for success.,crucial.png,crucial_word_en.mp3,crucial_meaning_ko.mp3,crucial_example_en.mp3,crucial_example_ko.mp3,중급,3
cruise,유람선 여행,,부모님은 결혼기념일에 유람선 여행을 가셨습니다.,My parents went on a cruise for their wedding anniversary.,cruise.png,cruise_word_en.mp3,cruise_meaning_ko.mp3,cruise_example_en.mp3,cruise_example_ko.mp3,여행,2
cue,신호,,불이 꺼지는 것이 공연 시작의 신호입니다.,The lights going off is the cue for the performance to begin.,cue.png,cue_word_en.mp3,cue_meaning_ko.mp3,cue_example_en.mp3,cue_example_ko.mp3,중급,3
cure,치료법,,과학자들은 그 병의 치료법을 찾고 있습니다.,Scientists are looking for a cure for the disease.,cure.png,cure_word_en.mp3,cure_meaning_ko.mp3,cure_example_en.mp3,cure_example_ko.mp3,위기탈출,3
curious,호기심이 많은,,그 아이는 호기심이 많은 성격입니다.,The child has a curious personality.,curious.png,curious_word_en.mp3,curious_meaning_ko.mp3,curious_example_en.mp3,curious_example_ko.mp3,중급,3
curriculum,교과 과정,,우리 학교의 교과 과정에는 한국 역사 수업이 포함되어 있습니다.,Our school's curriculum includes Korean history classes.,curriculum.png,curriculum_word_en.mp3,curriculum_meaning_ko.mp3,curriculum_example_en.mp3,curriculum_example_ko.mp3,중급,3
curve,곡선,,종이에 부드러운 곡선을 그려 보세요.,Try drawing a smooth curve on the paper.,curve.png,curve_word_en.mp3,curve_meaning_ko.mp3,curve_example_en.mp3,curve_example_ko.mp3,중급,3
curved,구부러진,,그 길은 산을 따라 구부러진 모양입니다.,The road is curved along the mountain.,curved.png,curved_word_en.mp3,curved_meaning_ko.mp3,curved_example_en.mp3,curved_example_ko.mp3,중급,3
cute,귀여운,,그 강아지는 정말 귀여운 얼굴을 하고 있습니다.,The puppy has a really cute face.,cute.png,cute_word_en.mp3,cute_meaning_ko.mp3,cute_example_en.mp3,cute_example_ko.mp3,중급,3
dairy,유제품,,우유와 치즈 같은 유제품을 냉장고에 넣었습니다.,I put dairy products like milk and cheese in the refrigerator.,dairy.png,dairy_word_en.mp3,dairy_meaning_ko.mp3,dairy_example_en.mp3,dairy_example_ko.mp3,중급,3
dare,감히 하다,,나는 감히 선생님께 거짓말을 하지 못했습니다.,I did not dare to lie to the teacher.,dare.png,dare_word_en.mp3,dare_meaning_ko.mp3,dare_example_en.mp3,dare_example_ko.mp3,중급,3
darkness,어둠,,정전이 되자 방 안은 어둠으로 가득 찼습니다.,"When the power went out, the room was filled with darkness.",darkness.png,darkness_word_en.mp3,darkness_meaning_ko.mp3,darkness_example_en.mp3,darkness_example_ko.mp3,중급,3
database,데이터베이스,,회사는 고객 정보를 데이터베이스에 저장합니다.,The company stores customer information in a database.,database.png,database_word_en.mp3,database_meaning_ko.mp3,database_example_en.mp3,database_example_ko.mp3,중급,3
deadline,마감일,,보고서 마감일은 이번 금요일입니다.,The deadline for the report is this Friday.,deadline.png,deadline_word_en.mp3,deadline_meaning_ko.mp3,deadline_example_en.mp3,deadline_example_ko.mp3,비즈니스,3
deadly,치명적인,,그 독은 사람에게 치명적인 영향을 줄 수 있습니다.,That poison can have a deadly effect on people.,deadly.png,deadly_word_en.mp3,deadly_meaning_ko.mp3,deadly_example_en.mp3,deadly_example_ko.mp3,중급,3
dealer,판매업자,,그는 중고차 판매업자로 일합니다.,He works as a used car dealer.,dealer.png,dealer_word_en.mp3,dealer_meaning_ko.mp3,dealer_example_en.mp3,dealer_example_ko.mp3,중급,3
debate,토론,,학생들은 환경 문제에 대해 토론을 했습니다.,The students had a debate about environmental issues.,debate.png,debate_word_en.mp3,debate_meaning_ko.mp3,debate_example_en.mp3,debate_example_ko.mp3,중급,3
debt,빚,,그는 빚을 갚기 위해 열심히 일했습니다.,He worked hard to pay off his debt.,debt.png,debt_word_en.mp3,debt_meaning_ko.mp3,debt_example_en.mp3,debt_example_ko.mp3,비즈니스,3
decent,괜찮은,,가격에 비해 음식이 꽤 괜찮은 편입니다.,The food is quite decent for the price.,decent.png,decent_word_en.mp3,decent_meaning_ko.mp3,decent_example_en.mp3,decent_example_ko.mp3,중급,3
deck,갑판,,승객들은 배의 갑판에서 바다를 바라보았습니다.,The passengers looked at the sea from the ship's deck.,deck.png,deck_word_en.mp3,deck_meaning_ko.mp3,deck_example_en.mp3,deck_example_ko.mp3,중급,3
declare,선언하다,,대통령은 새로운 계획을 공식적으로 선언했습니다.,The president officially declared a new plan.,declare.png,declare_word_en.mp3,declare_meaning_ko.mp3,declare_example_en.mp3,declare_example_ko.mp3,중급,3
decline,감소하다,,최근 이 도시의 인구가 감소하고 있습니다.,"Recently, the population of this city has been declining.",decline.png,decline_word_en.mp3,decline_meaning_ko.mp3,decline_example_en.mp3,decline_example_ko.mp3,중급,3
decoration,장식,,크리스마스 장식이 거실을 밝게 만들었습니다.,The Christmas decorations made the living room bright.,decoration.png,decoration_word_en.mp3,decoration_meaning_ko.mp3,decoration_example_en.mp3,decoration_example_ko.mp3,중급,3
decrease,감소하다,,운동을 시작한 후 체중이 조금씩 감소했습니다.,"After I started exercising, my weight decreased little by little.",decrease.png,decrease_word_en.mp3,decrease_meaning_ko.mp3,decrease_example_en.mp3,decrease_example_ko.mp3,중급,3
deeply,깊이,,그녀는 친구의 말에 깊이 감동했습니다.,She was deeply moved by her friend's words.,deeply.png,deeply_word_en.mp3,deeply_meaning_ko.mp3,deeply_example_en.mp3,deeply_example_ko.mp3,중급,3
defeat,패배시키다,,우리 팀은 결승전에서 상대 팀을 패배시켰습니다.,Our team defeated the opposing team in the final.,defeat.png,defeat_word_en.mp3,defeat_meaning_ko.mp3,defeat_example_en.mp3,defeat_example_ko.mp3,중급,3
defence,방어,,좋은 방어는 경기에서 이기는 데 중요합니다.,Good defence is important for winning a game.,defence.png,defence_word_en.mp3,defence_meaning_ko.mp3,defence_example_en.mp3,defence_example_ko.mp3,중급,3
defend,보호하다,,경찰은 시민을 보호하기 위해 노력합니다.,The police work to defend citizens.,defend.png,defend_word_en.mp3,defend_meaning_ko.mp3,defend_example_en.mp3,defend_example_ko.mp3,중급,3
defender,방어자,,그 선수는 팀의 가장 믿음직한 방어자입니다.,That player is the team's most reliable defender.,defender.png,defender_word_en.mp3,defender_meaning_ko.mp3,defender_example_en.mp3,defender_example_ko.mp3,중급,3
delay,지연,,눈 때문에 기차 지연이 발생했습니다.,A train delay occurred because of the snow.,delay.png,delay_word_en.mp3,delay_meaning_ko.mp3,delay_example_en.mp3,delay_example_ko.mp3,여행,2
delete,삭제하다,,실수로 중요한 파일을 삭제했습니다.,I accidentally deleted an important file.,delete.png,delete_word_en.mp3,delete_meaning_ko.mp3,delete_example_en.mp3,delete_example_ko.mp3,중급,3
deliberate,의도적인,,그의 실수는 의도적인 행동이 아니었습니다.,His mistake was not a deliberate action.,deliberate.png,deliberate_word_en.mp3,deliberate_meaning_ko.mp3,deliberate_example_en.mp3,deliberate_example_ko.mp3,중급,3
deliberately,일부러,,그는 친구를 놀리려고 일부러 문을 닫았습니다.,He deliberately closed the door to tease his friend.,deliberately.png,deliberately_word_en.mp3,deliberately_meaning_ko.mp3,deliberately_example_en.mp3,deliberately_example_ko.mp3,중급,3
delight,기쁨,,아이들의 웃음소리는 큰 기쁨을 주었습니다.,The children's laughter gave me great delight.,delight.png,delight_word_en.mp3,delight_meaning_ko.mp3,delight_example_en.mp3,delight_example_ko.mp3,중급,3
delighted,기쁜,,그녀는 선물을 받고 매우 기쁜 표정을 지었습니다.,She looked very delighted after receiving the gift.,delighted.png,delighted_word_en.mp3,delighted_meaning_ko.mp3,delighted_example_en.mp3,delighted_example_ko.mp3,중급,3
delivery,배달,,피자 배달이 예상보다 빨리 도착했습니다.,The pizza delivery arrived earlier than expected.,delivery.png,delivery_word_en.mp3,delivery_meaning_ko.mp3,delivery_example_en.mp3,delivery_example_ko.mp3,비즈니스,3
demand,요구하다,,직원들은 더 안전한 근무 환경을 요구했습니다.,The workers demanded a safer work environment.,demand.png,demand_word_en.mp3,demand_meaning_ko.mp3,demand_example_en.mp3,demand_example_ko.mp3,비즈니스,3
democracy,민주주의,,민주주의에서는 국민의 의견이 중요합니다.,"In a democracy, the people's opinions are important.",democracy.png,democracy_word_en.mp3,democracy_meaning_ko.mp3,democracy_example_en.mp3,democracy_example_ko.mp3,중급,3
democratic,민주주의의,,그 나라는 민주주의의 가치를 지키려고 노력합니다.,That country tries to protect democratic values.,democratic.png,democratic_word_en.mp3,democratic_meaning_ko.mp3,democratic_example_en.mp3,democratic_example_ko.mp3,중급,3
demonstrate,보여주다,,선생님은 실험 방법을 학생들에게 보여주었습니다.,The teacher demonstrated the experiment method to the students.,demonstrate.png,demonstrate_word_en.mp3,demonstrate_meaning_ko.mp3,demonstrate_example_en.mp3,demonstrate_example_ko.mp3,중급,3
demonstration,시위,,시민들은 평화로운 시위에 참여했습니다.,The citizens took part in a peaceful demonstration.,demonstration.png,demonstration_word_en.mp3,demonstration_meaning_ko.mp3,demonstration_example_en.mp3,demonstration_example_ko.mp3,중급,3
deny,부정하다,,그는 자신의 잘못을 끝까지 부정했습니다.,He denied his mistake until the end.,deny.png,deny_word_en.mp3,deny_meaning_ko.mp3,deny_example_en.mp3,deny_example_ko.mp3,중급,3
depart,출발하다,,비행기는 오전 9시에 출발합니다.,The plane departs at 9 a.m.,depart.png,depart_word_en.mp3,depart_meaning_ko.mp3,depart_example_en.mp3,depart_example_ko.mp3,여행,2
dependent,의존적인,,어린아이는 부모에게 의존적인 경우가 많습니다.,Young children are often dependent on their parents.,dependent.png,dependent_word_en.mp3,dependent_meaning_ko.mp3,dependent_example_en.mp3,dependent_example_ko.mp3,중급,3
deposit,보증금,,집을 빌릴 때 보증금을 먼저 냈습니다.,I paid the deposit first when I rented the house.,deposit.png,deposit_word_en.mp3,deposit_meaning_ko.mp3,deposit_example_en.mp3,deposit_example_ko.mp3,비즈니스,3
depressed,우울한,,그는 시험에 떨어져서 며칠 동안 우울한 기분이었습니다.,He felt depressed for several days because he failed the exam.,depressed.png,depressed_word_en.mp3,depressed_meaning_ko.mp3,depressed_example_en.mp3,depressed_example_ko.mp3,중급,3
depressing,우울한,,비가 계속 오는 날씨가 조금 우울하게 느껴졌습니다.,The weather with continuous rain felt a little depressing.,depressing.png,depressing_word_en.mp3,depressing_meaning_ko.mp3,depressing_example_en.mp3,depressing_example_ko.mp3,중급,3
depression,우울증,,그녀는 우울증을 치료하기 위해 병원에 다니고 있습니다.,She is going to the hospital to treat her depression.,depression.png,depression_word_en.mp3,depression_meaning_ko.mp3,depression_example_en.mp3,depression_example_ko.mp3,중급,3
depth,깊이,,이 수영장의 깊이는 2미터입니다.,The depth of this swimming pool is two meters.,depth.png,depth_word_en.mp3,depth_meaning_ko.mp3,depth_example_en.mp3,depth_example_ko.mp3,중급,3
derive,유래하다,,이 단어는 라틴어에서 유래했습니다.,This word derives from Latin.,derive.png,derive_word_en.mp3,derive_meaning_ko.mp3,derive_example_en.mp3,derive_example_ko.mp3,중급,3
deserve,받을 만하다,,열심히 노력한 그는 상을 받을 만합니다.,He deserves to receive an award because he worked hard.,deserve.png,deserve_word_en.mp3,deserve_meaning_ko.mp3,deserve_example_en.mp3,deserve_example_ko.mp3,중급,3
desire,욕망,,그는 성공에 대한 강한 욕망을 가지고 있습니다.,He has a strong desire for success.,desire.png,desire_word_en.mp3,desire_meaning_ko.mp3,desire_example_en.mp3,desire_example_ko.mp3,중급,3
desperate,절박한,,그들은 물을 찾기 위해 절박한 상황에 놓였습니다.,They were in a desperate situation as they searched for water.,desperate.png,desperate_word_en.mp3,desperate_meaning_ko.mp3,desperate_example_en.mp3,desperate_example_ko.mp3,중급,3
desperately,필사적으로,,그는 잃어버린 아이를 필사적으로 찾았다.,He desperately searched for the lost child.,desperately.png,desperately_word_en.mp3,desperately_meaning_ko.mp3,desperately_example_en.mp3,desperately_example_ko.mp3,중급,3
destruction,파괴,,전쟁은 많은 도시의 파괴를 가져왔다.,The war brought the destruction of many cities.,destruction.png,destruction_word_en.mp3,destruction_meaning_ko.mp3,destruction_example_en.mp3,destruction_example_ko.mp3,위기탈출,3
detailed,상세한,,선생님은 상세한 설명을 해 주셨다.,The teacher gave a detailed explanation.,detailed.png,detailed_word_en.mp3,detailed_meaning_ko.mp3,detailed_example_en.mp3,detailed_example_ko.mp3,중급,3
detect,탐지하다,,이 기계는 작은 움직임도 탐지할 수 있다.,This machine can detect even small movements.,detect.png,detect_word_en.mp3,detect_meaning_ko.mp3,detect_example_en.mp3,detect_example_ko.mp3,중급,3
determination,결심,,그녀는 성공하겠다는 결심이 강했다.,She had a strong determination to succeed.,determination.png,determination_word_en.mp3,determination_meaning_ko.mp3,determination_example_en.mp3,determination_example_ko.mp3,중급,3
devote,헌신하다,,그는 평생을 가난한 사람들을 돕는 일에 헌신했다.,He devoted his life to helping poor people.,devote.png,devote_word_en.mp3,devote_meaning_ko.mp3,devote_example_en.mp3,devote_example_ko.mp3,중급,3
differ,다르다,,우리의 의견은 조금 다르다.,Our opinions differ a little.,differ.png,differ_word_en.mp3,differ_meaning_ko.mp3,differ_example_en.mp3,differ_example_ko.mp3,중급,3
dig,파다,,아이들은 모래밭에 구멍을 팠다.,The children dug a hole in the sand.,dig.png,dig_word_en.mp3,dig_meaning_ko.mp3,dig_example_en.mp3,dig_example_ko.mp3,중급,3
disability,장애,,그는 장애가 있지만 혼자서 생활한다.,"He has a disability, but he lives on his own.",disability.png,disability_word_en.mp3,disability_meaning_ko.mp3,disability_example_en.mp3,disability_example_ko.mp3,중급,3
disabled,장애가 있는,,이 건물에는 장애가 있는 사람들을 위한 엘리베이터가 있다.,This building has an elevator for disabled people.,disabled.png,disabled_word_en.mp3,disabled_meaning_ko.mp3,disabled_example_en.mp3,disabled_example_ko.mp3,중급,3
disagreement,의견 불일치,,두 사람 사이에 의견 불일치가 있었다.,There was a disagreement between the two people.,disagreement.png,disagreement_word_en.mp3,disagreement_meaning_ko.mp3,disagreement_example_en.mp3,disagreement_example_ko.mp3,중급,3
disappoint,실망시키다,,나는 부모님을 실망시키고 싶지 않다.,I do not want to disappoint my parents.,disappoint.png,disappoint_word_en.mp3,disappoint_meaning_ko.mp3,disappoint_example_en.mp3,disappoint_example_ko.mp3,중급,3
disappointment,실망,,시험 결과를 보고 큰 실망을 느꼈다.,I felt great disappointment after seeing the test result.,disappointment.png,disappointment_word_en.mp3,disappointment_meaning_ko.mp3,disappointment_example_en.mp3,disappointment_example_ko.mp3,중급,3
disc,디스크,,그는 음악 디스크를 컴퓨터에 넣었다.,He put the music disc into the computer.,disc.png,disc_word_en.mp3,disc_meaning_ko.mp3,disc_example_en.mp3,disc_example_ko.mp3,중급,3
discipline,훈육,,부모의 따뜻한 훈육은 아이에게 중요하다.,Warm discipline from parents is important for a child.,discipline.png,discipline_word_en.mp3,discipline_meaning_ko.mp3,discipline_example_en.mp3,discipline_example_ko.mp3,중급,3
discourage,말리다,,친구들은 내가 위험한 여행을 가지 못하게 말렸다.,My friends discouraged me from going on a dangerous trip.,discourage.png,discourage_word_en.mp3,discourage_meaning_ko.mp3,discourage_example_en.mp3,discourage_example_ko.mp3,중급,3
dishonest,부정직한,,부정직한 행동은 신뢰를 잃게 만든다.,Dishonest behavior makes people lose trust.,dishonest.png,dishonest_word_en.mp3,dishonest_meaning_ko.mp3,dishonest_example_en.mp3,dishonest_example_ko.mp3,중급,3
disk,디스크,,파일을 저장하려면 디스크 공간이 필요하다.,You need disk space to save the file.,disk.png,disk_word_en.mp3,disk_meaning_ko.mp3,disk_example_en.mp3,disk_example_ko.mp3,중급,3
dismiss,해고하다,,회사는 규칙을 어긴 직원을 해고했다.,The company dismissed the employee who broke the rules.,dismiss.png,dismiss_word_en.mp3,dismiss_meaning_ko.mp3,dismiss_example_en.mp3,dismiss_example_ko.mp3,중급,3
disorder,장애,,그는 수면 장애 때문에 병원에 갔다.,He went to the hospital because of a sleep disorder.,disorder.png,disorder_word_en.mp3,disorder_meaning_ko.mp3,disorder_example_en.mp3,disorder_example_ko.mp3,중급,3
display,표시하다,,화면에 현재 시간이 표시된다.,The current time is displayed on the screen.,display.png,display_word_en.mp3,display_meaning_ko.mp3,display_example_en.mp3,display_example_ko.mp3,쇼핑,2
distant,먼,,먼 산 위에 눈이 쌓여 있었다.,Snow was piled on the distant mountain.,distant.png,distant_word_en.mp3,distant_meaning_ko.mp3,distant_example_en.mp3,distant_example_ko.mp3,중급,3
